langcode,type,status,uid,title,created,changed,default_langcode,path,field_artis,field_emotion,field_lyrics_chorus,field_lyrics_hook,field_lyrics_lead,field_name,field_year
en,country_lyrics,1,0,ขอใจกันหนาว,1573036588,1573036588,1,en,ต่าย อรทัย,กำลังใจ,"อยากมีพี่เลี้ยง เคียงข้างบนทางเปื้อนฝุ่น
มอบใจอุ่นๆ กันหนาวกันท้อพอเพียง
ยามเจ็บเห็นหน้า ยามมีปัญหายืนเคียง
ยามเหงาได้โทรฟังเสียง หล่อเลี้ยงหัวใจทุกคราว","ขอพึ่งแรงแห่งฝัน บันดาลให้เจอคนดี
ให้สาวไกลบ้านคนนี้ ได้มีคนคอยปลอบเหงา
งานยุ่งเมืองใหญ่ ขอใจฮักมั่นกันหนาว
นำพาในทุกเรื่องราว ให้สาวดอกหญ้าอุ่นใจ","เมื่อเลิกงานเดินเหงา มีเงาเป็นเพื่อนเข้าซอย
ผู้สาวบ้านไกลใจลอย บ่มีคนคอยเคียงเงา
อยู่ในเมืองใหญ่ อุ่นกายแต่หัวใจหนาว
วันๆมีหลายเรื่องราว รุมเร้าให้คอยหวั่นไหว

ฝืนยืนสู้แค่ไหน นานไปแรงใจสึกหรอ
ห่วงใยทางบ้านที่รอ แม่พ่อจั๊กอยู่จั่งได๋
ปัญหาหลายอย่าง สู้ตามลำพังบ่ไหว
พรุ่งนี้สิเดินอย่างไร ถ้าใจบ่มีคนเคียง",ขอใจกันหนาว,2547
en,country_lyrics,1,0,ดอกหญ้าในป่าปูน,1573036757,1573036757,1,en,ต่าย อรทัย,กำลังใจ,"อยู่เมืองสวรรค์ แต่เป็นคนชั้นติดดิน
เป็นผู้รับใช้จนชิน หูได้ยินแต่คำสั่งงาน
แต่ยังยิ้มได้ เพราะใจเหมือนดอกหญ้าบาน
ถึงอยู่ในที่ต่ำชั้น แต่ก็บานได้ทุกเวลา","หัวใจติดดิน สวมกางเกงยีนส์เก่าๆ
ใส่เสื้อตัวร้อยเก้าๆ แต่ใจสาวบ่ด้อยราคา
หวังไว้วันหนึ่ง เรียนจบชั้นที่เฝ้ารอมา
จะสวมมงกุฎดอกหญ้า ถ่ายรูปปริญญาหวนมาบ้านเรา","หัวใจติดดิน สวมกางเกงยีนส์เก่าๆ
ใส่เสื้อตัวร้อยเก้าๆ กอดกระเป๋าใบเดียวติดกาย
กราบลาแม่พ่อ หลังจากเรียนจบ ม.ปลาย
ลาทุ่งดอกคูณไสว มาอาศัยชายคาป่าปูน

เอาแรงเป็นทุน สู้งานเงินเดือนต่ำต่ำ
เก็บเงินเข้าเรียนภาคค่ำ ก่อความหวังบนทางเปื้อนฝุ่น
สังคมเมืองใหญ่ ขาดแคลนน้ำใจเจือจุน
ใช้ความอดทนเติมทุน ให้ยืนสู้ไหวทุกวัน",ดอกหญ้าในป่าปูน,2546
en,country_lyrics,1,0,กรรมกรแก้มแดง,1573037159,1573037159,1,en,ต่าย อรทัย,กำลังใจ,"เก็บ ใจ มั่น อดออมทุกวันทุกอย่าง
ของใช้ก็ซื้อนอกห้าง จึงพอมีตังค์ส่งให้ทางบ้าน
ส่วนคนเป็นคู่เคียงใจ น้องเรียนจบจึงค่อยคิดกัน
ฟังเพลงลูกทุ่งปลอบฝัน ให้ใจก้าวผ่านวันบ่มีแฟน","แก้มใสบ่ให้ตกสี ทำหน้าที่บ่ให้ตกค้าง
รับใช้จึงได้รับตังค์ ต้องใช้กำลังทุกงานที่ทำ
เป็นกรรมกรแก้มแดง ขายแรงในชุดงามๆ
ตามร้านตามห้างตามปั๊ม มีเพื่อนเราทำทุกตำแหน่งงาน","สาวรากหญ้า เข้ามาขายแรงเมืองใหญ่
แต่งตัวเหมือนเป็นเจ้านาย แต่อยู่ฝ่ายให้บริการ
เดินทางมาจากบ้านนอก ทำงานหนักเงินเดือนหลักพัน
ตากแอร์ในที่ทำงาน กลับเมือบ้านนอนห้องพัดลม

เหนื่อย ห้าม ท้อ หน้างอเงินเดือนบ่ออก
ท่องคำเจ้านายเพิ่นบอก ยิ้มให้ออกถึงใจซานซม
แอบร้องไห้ในห้องน้ำ เมื่อโดนคำย่ำใจขื่นขม
คนจนล่ะบ่มีสิทธิ์จ่ม ซ่อนอารมณ์หลังรอยยิ้มงาม",กรรมกรแก้มแดง,2557
en,country_lyrics,1,0,ถนนค้นฝัน,1573039809,1573039809,1,en,ตั๊กแตน ชลดา,กำลังใจ,"เหงาจัง กลับห้องมามีเพื่อนก็เพียงเสียงเพลง
วันที่ปัญหาหอบภาระเข้ามาข่มเหง
ได้แต่บอกใจตัวเองไม่ให้หยุดฝัน","ยืนบนถนนคนสู้เพื่อฝันลำพัง
คว้างดังเศษฟางที่ถูกลมพัดมาไกล

จากเช้าจรดเย็นต้องเป็นคนมีเจ้านาย
เลิกงานค่อยมีลมหายใจเป็นของตัวเอง","เนิ่นนาน ที่เราเดินตามฝัน
จากบ้านมาไกล จากทุ่งนาเขียว
ภูเขาสูง ข้างทุ่งดอกไม้ 
มาสู้อยู่กลางแสงไฟเมืองไม่ยอมหลับ 

สัญญา ไม่ได้ดีขึ้นมา จะไม่ยอมกลับ
งานหนักเพียงไหน บอกหัวใจให้ยืนตั้งรับ
แม้ความจริงเฝ้าแต่นับคำว่าผิดหวัง",ถนนค้นฝัน,2550
en,country_lyrics,1,0,นักร้องงานเลี้ยง,1573040067,1573040067,1,en,ตั๊กแตน ชลดา,กำลังใจ,"หวัด ดีค่ะ อะโหล อะโหล
อยากให้โชว์กี่เพลง ล่ะจ๊ะ
ขอให้มีดนตรีเปิดมา
สู้ตายค่ะอยู่แล้วลูกพี่.","เป็นนักร้องยามมีงานเลี้ยง
มีโทนเสียงอยู่นอกสายตาแมวมอง
ขึ้นเวทีบ่อยซะจนคล่อง
บางเพลงร้องแล้วเผลอเต้นก็มี
อยู่ที่ทำงานขาดคนสนใจ
พอได้จับไมค์สงสัยจะดูดี
รับแต่เสียงปรบมือ มาทุกที
จบเพลงนี้ขออีกทีนะจ๊ะ","ร้องเพลงพอไปวัดไปวา
แต่จับไมค์ขึ้นมา แล้วเป็นเรื่องทุกที
อาศัย ว่าความจำดี 
ร้องไม่ผิดคีย์ ไม่มีดำน้ำ
อยู่ห้องร้องคาราโอเกะ
แอ็คท่าทำเท่ห์
หน้ากระจกประจำ
รับตำแหน่ง เป็นนักร้องนำ
ทุกครั้งเมื่อยาม
เพื่อนพ้องเขาขอมา.

งานปีใหม่วันสงกรานต์
หรือที่ทำงานไปทัศนาจร
คนเสียงดีเขาจองไมค์ก่อน
คนลูกคออ่อน ต้องคอยเวลา
เขาหมดเพลงร้องกันเมื่อไหร่
เวลาจับไมค์ ก็ใกล้เข้ามา
รับเชิญบ่อยจนไม่ค่อยขายหน้า
ร้องไปร้องมา ก็เผลอยึดเวที",นักร้องงานเลี้ยง,2552
en,country_lyrics,1,0,ยาใจคนจน,1573040292,1573040292,1,en,ไมค์ ภิรมย์พร,กำลังใจ,"ลำบากยากเข็ญ เช้าเย็นขอให้เห็นหน้า
เมื่อเจอปัญหา น้องอย่าตัดสายสัมพันธ์
อยู่เป็นแรงใจ เติมไฟให้กันและกัน
เพียงเรามีเราเท่านั้น สร้างฝันให้สมดังใฝ่","เป็นแฟนคนจน
ต้องทนหน่อยน้อง
อย่าแคร์สายตาคนมอง
อย่าหมอง เมื่อยามแพ้พ่าย
อย่าเพิ่งด่วนลา
เมื่อเจอปัญหาใดใด
ยืนเคียง เพื่อคอยยิ้มให้
เป็นยาชุบใจคนจน","เป็นแฟนคนจน ต้องทนหน่อยน้อง
พี่นี้ไม่มีเงินทอง มารองรับความลำบาก
ในแต่ละวัน พี่นั้นต้องทำงานหนัก
ถ้าไม่มีใจรัก ใครหนอจะร่วมทางได้

ปัญหามากมาย พาใจอ่อนล้า
ทั้งทั้งไม่เจตนา แต่ปัญหาก็มาจนได้
จึงอยากให้น้อง ช่วยมองด้วยความเห็นใจ
อุปสรรคจะมีเท่าใด ขอใจเรายิ้มให้กัน",ยาใจคนจน,2541
en,country_lyrics,1,0,เหนื่อยไหมคนดี,1573040530,1573040530,1,en,ไมค์ ภิรมย์พร,กำลังใจ,"เก๋งไม่มีขับ ปิคอัพก็ไม่มีขี่
เห็นแฟนคนอื่นได้ดี พี่นี้ยิ่งสงสารเธอ
จมอยู่กับพี่ ทั้งที่ไร้สิ่งปรนเปรอ
รู้ไหมว่ารอยยิ้มเธอ ช่วยให้ใจพี่มีหวัง.","พี่ขอขอบคุณที่น้องมีใจ
ก่อนนี้ถ้าพี่ผิดไป ต้องขออภัยใจนาง.
ยิ้มเถิดคนดี วันนี้เริ่มมองเห็นทาง
จับมือลุกเดินเคียงข้าง เราจะสร้างพรุ่งนี้ด้วยกัน","เหนื่อยไหมคนดีมีพี่เป็นแฟน
ครองรักบนความขาดแคลน
ยากแค้นพี่กลัวเธอท้อ.เราเริ่มจากศูนย์
ลงทุนด้วยความไม่พอความหวังเทียวพังเทียวก่อ
ประคองกันสู้เรื่อยมา..

บนเส้นทางเดินขาดเกินประจำ
คลื่นลมชีวิตกระหน่ำอาจทำให้ใจพี่ล้า.
บางครั้งบางทีที่พี่ก็สร้างปัญหา
ทำให้เธอมีน้ำตาต้องทนพี่มาเสมอ",เหนื่อยไหมคนดี,2543
en,country_lyrics,1,0,ขายแรงแต่งนาง,1573040786,1573040786,1,en,ไมค์ ภิรมย์พร,กำลังใจ,"ความรู้ต่ำ แรงงานก็ราคาถูก
อดทนปนทุกข์ เดินบุก เดินลุยทุกวัน
เปลี่ยนแรงเป็นเงิน เผชิญกับความร้าวราน
จะไปให้ถึงความฝัน ฝันถึงงานวันแต่ง","ขอแรงคนดี ให้คอยพี่บ้าง
ได้โปรด ถนอมใจนาง
อย่าจืดจาง ระวังแก้มแดง
รักจริง อย่าให้ใครชิงตำแหน่ง
เก็บรักษาแก้มแดง
รอคนขายแรงจะไปแต่งนาง","สองมือคนจน จะทนเพื่อเจ้า
เพื่อความรักสองเรา พี่ขอเอาหัวใจเดิมพัน.
เดินทางจากนา มาขายแรงงาน
หวังว่าสักวัน ฝันเราคงเป็นจริง

ขอเอาแรงกายและใจมุ่งมั่น
เสียเหงื่อเพื่อน้องทุกวัน
เข้าทำงานขายแรง แย่งชิง
เหนื่อยกาย ก็ทนเพื่อคนรักจริง
ขอเพียงยอดหญิง อย่าทิ้งพี่ไปกลางคัน.",ขายแรงแต่งนาง,2542
en,country_lyrics,1,0,นักสู้ ม.3,1573041044,1573041044,1,en,ไมค์ ภิรมย์พร,กำลังใจ,"ปริญญาตรี พี่คงตามน้องไม่ติด
จะสร้างปริญญาชีวิต ไว้รอร่วมทางชีวี
ขอเพียงสาวราม อย่ามองข้ามเมื่อยามได้ดี
เรียนจบปริญญาตรี อย่าลืมพี่ ม.3 จนๆ","เป็นสามัญชน ความทนไม่มีจำกัด
จะลุยด้วยใจยืนหยัด แม้ยังอยู่ข้างถนน
ไอ้หนุ่ม ม.3 จะไม่ทำให้น้องอายคน
สาวรามอย่าได้กังวล พี่จะสร้างตนให้น้องภูมิใจ","เป็นสามัญชน คนจนไม่มีนามบัตร
ทำงานเงินเดือนจำกัด วุฒิใบประกาศ ม.3
ครองตนอยู่ไหว ก็เพราะใจได้รักคนงาม
สาวทุ่งเข้ากรุงเรียนราม ส่งยิ้มงามเสริมกำลังใจ

ความหวังยังไกล แต่ใจก็ยังมีสิทธิ์
หากเทอมหัวใจไม่ปิด รักคงไม่ติดตรงไหน
สู้งานให้สม ช่วยแม่พ่อให้พอสบาย
แล้วเร่งสร้างตนเร็วไว ให้พอคู่ควรคนดี",นักสู้ ม.3,2544
en,country_lyrics,1,0,คนบ้านเดียวกัน,1573041564,1573041564,1,en,ไผ่ พงศธร,กำลังใจ,"ให้โชค ให้หมาน ให้มั่งให้มี
ให้อยู่ดีมีแฮง อยู่แดงมีฮีเด้อครับพี่น้อง","คนบ้านเดียวกัน แค่มองตากันก็เข้าใจอยู่
รู้ว่าเหนื่อยแค่ไหน ว่าหนักแค่ไหนบนหนทางสู้
ยังมีคำปลอบโยน ยังมีคำปลอบใจ
มีคำว่าซำบายดีบ่ให้กันเสมอ เด้อคนบ้านเฮา

โอ๊ย...นอ...นอ คนบ้านเฮา","อ้ายทิดเคน เข้ามาเป็นคน ขับแท็กซี่
จากร้อยเอ็ด เฮ็ดนาได้ เอาไปใช้แต่หนี้
ตัดสินใจหิ้วกระเป๋าเดินทาง มาสู้กลางเมืองใหญ่เมืองนี้
ได้เจอกันอยู่ร้านลาบหลายที เป็นจั๋งใด๋พี่โชคหมานบ่น้อ

น้องตั๊กแตน เข้ามาเป็น สาวโรงงานเย็บผ้า
แรงที่ใช้กับเงินที่ได้ ยังบ่เคยคุ้มค่า
นักเรียน ม.ปลาย จากภาคอีสาน
กลายเป็นแรงงานถูกกดราคา
น้องมาซื้อลาบ เฮาได้เว้าจา
จั๋งใด๋อดสาเอาก่อนเด้อนาง",คนบ้านเดียวกัน,2551
